2020.09.10-19.40.19,v1.07,91 , 114 , (11 20 7 1 6) , 1562 , ((6 * 20) - (7 - 1)) , 171
2020.09.10-19.40.19,v1.07,92 , 114 , (11 20 7 1 6) , 2000 , none,  272
2020.09.10-19.40.19,v1.07,93 , 114 , (11 20 7 1 6) , 2000 , none,  332
2020.09.10-19.40.19,v1.07,94 , 114 , (11 20 7 1 6) , 1798 , ((6 * 20) - (7 - 1)) , 286
2020.09.10-19.40.19,v1.07,95 , 114 , (11 20 7 1 6) , 650 , ((6 * 20) - (7 - 1)) , 104
2020.09.10-19.40.19,v1.07,96 , 114 , (11 20 7 1 6) , 1088 , ((20 * 6) - (7 - 1)) , 158
2020.09.10-19.40.19,v1.07,97 , 114 , (11 20 7 1 6) , 566 , ((20 * 6) - (7 - 1)) , 116
2020.09.10-19.40.19,v1.07,98 , 114 , (11 20 7 1 6) , 702 , ((6 * 20) - (7 - 1)) , 96
2020.09.10-19.40.19,v1.07,99 , 114 , (11 20 7 1 6) , 2000 , none,  347
2020.09.10-19.40.19,v1.07,#error {
2020.09.10-19.40.19,v1.07, :cause nil
2020.09.10-19.40.19,v1.07, :via
2020.09.10-19.40.19,v1.07, [{:type java.lang.NullPointerException
2020.09.10-19.40.19,v1.07,   :message nil
2020.09.10-19.40.19,v1.07,   :at [clojure.lang.RT intCast RT.java 1216]}]
2020.09.10-19.40.19,v1.07, :trace
2020.09.10-19.40.19,v1.07, [[clojure.lang.RT intCast RT.java 1216]
2020.09.10-19.40.19,v1.07,  [numbo.misc$fuzzy_closest invokeStatic misc.clj 74]
2020.09.10-19.40.19,v1.07,  [numbo.misc$fuzzy_closest invoke misc.clj 68]
2020.09.10-19.40.19,v1.07,  [numbo.misc$fuzzy_closest_seq invokeStatic misc.clj 83]
2020.09.10-19.40.19,v1.07,  [numbo.misc$fuzzy_closest_seq invoke misc.clj 76]
2020.09.10-19.40.19,v1.07,  [numbo.cyto$closest_nodes invokeStatic cyto.clj 339]
2020.09.10-19.40.19,v1.07,  [numbo.cyto$closest_nodes invoke cyto.clj 334]
